,vault_name,vault_apy,vault_total_assets
2021-04-22 17:59:56.108772, DUDES20-ETH,473.82%  ,172.09K
2021-04-22 17:59:56.128780, MASK20-ETH,273.54%  ,259.46K
2021-04-22 17:59:56.152054, ROPE20-ETH,407.60%  ,223.86K
2021-04-22 17:59:56.183114, MCAT20-ETH,313.98%  ,219.55K
2021-04-22 17:59:56.263035, 1INCH-ETH,79.09%  ,1.08M
2021-04-22 17:59:56.296921, 1INCH-USDC,105.39%  ,1.53M
2021-04-22 17:59:56.321444, 1INCH-WBTC,90.67%  ,1.46M
2021-04-22 17:59:56.393854, ETH-DAI,70.14%  ,259.45K
2021-04-22 17:59:56.467018, ETH-USDC,60.74%  ,453.04K
2021-04-22 17:59:56.489778, ETH-USDT,69.32%  ,378.34K
2021-04-22 17:59:56.509340, ETH-WBTC,30.56%  ,10.68M
2021-04-22 17:59:56.547903, ETH-SUSHI,45.66%  ,1.05M
2021-04-22 17:59:56.569540, ETH-DAI,52.62%  ,15.83M
2021-04-22 17:59:56.591258, ETH-USDC,43.80%  ,11.29M
2021-04-22 17:59:56.614806, ETH-USDT,50.00%  ,31.62M
2021-04-22 17:59:56.634843, ETH-WBTC,14.78%  ,15.58M
2021-04-22 17:59:56.657531, ETH-UST,81.77%  ,506.21K
2021-04-22 17:59:56.694622, ETH-DPI,23.12%  ,2.70M
2021-04-22 17:59:56.714611, WBTC-KBTC,67.92%  ,1.94M
2021-04-22 17:59:56.734234, WBTC-KLONX,158.17%  ,285.70K
2021-04-22 17:59:56.753622, FARM/ETH,61.64%,15.93M
2021-04-22 17:59:56.772929, FARM/GRAIN,94.35%,187.62K
2021-04-22 17:59:56.810009, DAI-BAC,17.99%  ,1.28M
2021-04-22 17:59:56.831057, DAI-BASv2,58.42%  ,195.68K
2021-04-22 17:59:56.871756, MAAPL-UST,106.53%  ,285.32K
2021-04-22 17:59:56.893061, MAMZN-UST,95.53%  ,361.71K
2021-04-22 17:59:56.914064, MGOOGL-UST,96.15%  ,382.80K
2021-04-22 17:59:56.933721, MTSLA-UST,81.48%  ,493.85K
2021-04-22 17:59:56.953751, MNFLX-UST,142.40%  ,338.74K
2021-04-22 17:59:56.973734, MTWTR-UST,125.48%  ,416.92K
2021-04-22 17:59:57.011450, CRV:LINK,15.60%  ,2.47M
2021-04-22 17:59:57.048786, TUSD,Inactive ,26.78K
2021-04-22 17:59:57.075896, CRV:AAVE,Inactive ,12.41K
2021-04-22 17:59:57.113302, RENBTC,Inactive ,143.40K
2021-04-22 17:59:57.143967, MIC-USDT,Inactive ,285.51K
2021-04-22 17:59:57.165806, MIS-USDT,Inactive ,63.12K
2021-04-22 17:59:57.185690, WBTC-TBTC,Inactive ,1.13K
2021-04-22 17:59:57.205051, ETH-DAI,Inactive ,16.68K
2021-04-22 17:59:57.224690, ETH-USDC,Inactive ,28.85K
2021-04-22 17:59:57.244067, ETH-USDT,Inactive ,9.47K
2021-04-22 17:59:57.263917, ETH-WBTC,Inactive ,37.13K
2021-04-22 17:59:57.283429, DAI-BSG,Inactive ,13.41K
2021-04-22 17:59:57.306881, DAI-BSGS,Inactive ,12.26K
